name,psnr,ssim,lips,gs_num,loss,abpp,est_size,render_time,view_idx,dec_time_f_offset,dec_time_f_anchor_feat,dec_time_scale,dec_time_coder_time,dec_time_all_time,total_bitsMB,pos_bits,atr_bits,mlp_bits,part_bits_geo,part_bits_mlp,part_bits_f_offset,part_bits_f_anchor_feat,part_bits_scale,gsNum,enc_time_pos,enc_time_f_offset,enc_time_f_anchor_feat,enc_time_scale,enc_time_coder_time,enc_time_all_time,train_time (min)
room,31.42384974161784,0.9190757901240618,0.2190286486576765,204509.0,0.052729568229271814,228.1411590576172,5.903249537672309,0.0060820396129901595,19.0,0.291,0.57,0.103,0.964,1.307,4.994255065917969,2038536.0,39430896.0,425416.0,2038536.0,425416.0,10821696.0,22546048.0,6063152.0,204509.0,0.192,0.175,0.35,0.079,0.795,10.619,23.65
counter,27.861297543843587,0.883919874827067,0.24490648756424585,151873.0,0.06256851616005103,214.13319396972656,4.1302767476754525,0.005678200721740722,14.5,0.172,0.477,0.078,0.727,0.987,3.3778209686279297,1540384.0,26368504.0,426328.0,1540384.0,426328.0,4023304.0,17738936.0,4606264.0,151873.0,0.14,0.085,0.266,0.058,0.548,7.65,23.05
stump,26.418124318122864,0.7445614002645016,0.3008482037112117,707472.0,0.1010078196413815,226.1361846923828,20.252421719633276,0.017651066184043884,7.5,0.993,2.036,0.338,3.367,4.565,17.46525478363037,7918976.0,138164216.0,425984.0,7918976.0,425984.0,32718512.0,84563392.0,20882312.0,707472.0,0.756,0.592,1.303,0.257,2.908,36.554,26.04
garden,26.740697224934895,0.8254441370566686,0.17525055756171545,729936.0,0.0849973081300656,255.02862548828125,23.409566733171232,0.01853477954864502,11.5,1.147,2.219,0.379,3.746,4.96,20.63415813446045,6721760.0,165944640.0,425464.0,6721760.0,425464.0,44937096.0,98581392.0,22426152.0,729936.0,0.641,0.692,1.453,0.274,3.061,38.113,33.3
kitchen,30.295910481044224,0.9157532589776175,0.1456828140786716,220783.0,0.05704731664487294,241.49688720703125,6.724520832089183,0.00813345227922712,17.0,0.383,0.632,0.107,1.122,1.49,6.117545127868652,1911352.0,48980640.0,425696.0,1911352.0,425696.0,15542776.0,26818608.0,6619256.0,220783.0,0.161,0.232,0.399,0.083,0.875,11.427,27.09
bicycle,24.420809707641602,0.6986762976646423,0.3173715841770172,810785.0,0.11560456931591034,222.6724395751953,22.87512587558922,0.01730351448059082,12.0,0.984,2.411,0.423,3.819,5.438,19.37752628326416,7890832.0,154233760.0,425880.0,7890832.0,425880.0,27966888.0,101374920.0,24891952.0,810785.0,0.773,0.58,1.504,0.292,3.148,41.446,29.71
treehill,22.954301198323567,0.6166630552874671,0.39677098724577164,702787.0,0.13595410188039145,237.71693420410156,21.0885273264048,0.018264545334710017,8.5,0.909,2.096,0.365,3.369,4.446,18.072830200195312,6699064.0,144481176.0,425648.0,6699064.0,425648.0,28155624.0,94650832.0,21674720.0,702787.0,0.698,0.533,1.378,0.26,2.87,36.453,28.68
bonsai,31.122520137477565,0.9341143111924868,0.20705262269522692,353158.0,0.04800673453388987,210.63514709472656,9.457075509748393,0.00868678737331081,18.0,0.457,0.979,0.175,1.611,2.326,7.912885665893555,3697832.0,62253888.0,426376.0,3697832.0,426376.0,14815840.0,37104800.0,10333248.0,353158.0,0.335,0.282,0.594,0.133,1.343,18.344,24.14
flowers,20.56338813088157,0.5203787264498797,0.42884810946204444,570690.0,0.17020601846955039,235.28677368164062,16.959365471884666,0.012612472880970348,10.5,0.782,1.666,0.29,2.738,3.839,14.631049156188965,5793536.0,116515768.0,424832.0,5793536.0,424832.0,27242440.0,72009600.0,17263728.0,570690.0,0.556,0.477,1.07,0.208,2.312,29.781,27.33
mean,26.866766498209746,0.7842874279827103,0.2706400016837312,494665.8888888889,0.09201355033393166,230.13859388563367,14.533347750429837,0.012549650935136545,13.166666666666666,0.6797777777777778,1.454,0.2508888888888889,2.3847777777777774,3.2619999999999996,12.509258376227486,4912474.666666667,99597054.22222222,425736.0,4912474.666666667,425736.0,22913797.333333332,61709836.44444445,14973420.444444444,494665.8888888889,0.4724444444444445,0.40533333333333327,0.9241111111111111,0.18266666666666664,1.9844444444444445,25.598555555555556,26.99888888888889
